Key,english
craftingSeedsDesc,Increase [DECEA3]Seed Crafting[-] by gathering research papers.\nWhen enough research has been gathered, [DECEA3]purchase[-] your skills.
craftingShotgunsDesc,Increase [DECEA3]Shotgun Crafting[-] by gathering research papers.\nWhen enough research has been gathered, [DECEA3]purchase[-] your skills.
craftingSledgehammersDesc,Increase [DECEA3]Sledgehammer Crafting[-] by gathering research papers.\nWhen enough research has been gathered, [DECEA3]purchase[-] your skills.
craftingSpearsDesc,Increase [DECEA3]Spear Crafting[-] by gathering research papers.\nWhen enough research has been gathered, [DECEA3]purchase[-] your skills.
craftingTrapsDesc,Increase [DECEA3]Trap Crafting[-] by gathering research papers.\nWhen enough research has been gathered, [DECEA3]purchase[-] your skills.
craftingVehiclesDesc,Increase [DECEA3]Vehicle Crafting[-] by gathering research papers.\nWhen enough research has been gathered, [DECEA3]purchase[-] your skills.
craftingWorkstationsDesc,Increase [DECEA3]Workstation Crafting[-] by gathering research papers.\nWhen enough research has been gathered, [DECEA3]purchase[-] your skills.
dewCollectorEmpty,{0} Open {1} ([DECEA3]Empty[-])
dewCollectorHasDirtyWater,{0} Open {1} ([228B22]Collect[-])
dewCollectorHasWater,{0} Open {1} ([228B22]Collect[-])
drinkJarBoiledWater,"Boiled Water"
drinkJarBoiledWaterDesc,"Almost safe to drink ..."
drinkJarDistilledWater,"Distilled Water"
drinkJarDistilledWaterDesc,"Safe to drink, and as fresh as you can get in the apocalypse."
drinkJarYuccaJuice,Yucca Juice
drinkJarYuccaJuiceDesc,"Yucca juice provides excellent hydration, and will help keep you cool."
drinkYuccaJuiceSmoothieDesc,"This smoothie helps you boost stamina regeneration, and helps keep you cool."
drugLavenderOil,Lavender Oil
drugLavenderOilDesc,"A few drops of lavender on a cloth fragment can provide a moment of relaxation when you’re on the go.\n\nApply it like a bandage - treats 3% Despair."
drugLithium,Lithium
drugLithiumDesc,"Lithium is the most effective treatment for despair, however, it has it's downside.\n\nEach time you use this drug, you develop a tolerance to it, reducing its efficacy over time.\n\n25% [CC5500]MAXIMUM[-] cure. At max tolerance, reduced to 15%"
drugStJohnsWort,St. John's Wort
drugStJohnsWortDesc,"St. John's wort is a herbal treatment, and is effective at treating despair, however ...\n\nEach time you use this drug, your resistance to it's effects increases, reducing its efficacy over time.\n\n10% [CC5500]MAXIMUM[-] cure. At max tolerance, reduced to 5%"
foodCanBeefcooked,Cooked Beef Ration
foodCanBeefcookedDesc,"It's not from your favorite steakhouse but this can of cooked beef will fill you up, and not be as likely to give you the shits..."
foodCanCarrots,Can of Carrots
foodCanCarrotsDesc,"Convenient, budget-friendly and versatile, but are they as nutritious as fresh? Who cares...\n\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanCarrotscooked,Cooked carrots
foodCanCarrotscookedDesc,"Convenient, budget-friendly, versatile...\n\n and cooked!"
foodCanChickenDesc,"Tastes like chicken. Well, really old synthetic chicken with dirt on it.\n\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanChickencooked,Cooked Chicken Ration
foodCanChickencookedDesc,"Cooked chicken, straight from the can. Still tastes like crap."
foodCanChiliDesc,"Stash Chili goes down smooth but watch out for the fiery finish Paco.\n\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanChilicooked,Cooked Chili
foodCanChilicookedDesc,"Cooked Chili. Fiery finish, but less chance of a nasty finish..."
foodCanLambcooked,Cooked Lamb Rations
foodCanLambcookedDesc,"Cooked lamb rations. Taste like lamb, texture like shoe leather."
foodCanMisoDesc,"It's time to soup it up with some Miso soup mmm mmm good.\n\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanMisocooked,Cooked Miso soup
foodCanMisocookedDesc,"Hot miso soup. Not bad at all."
foodCanPastaDesc,"Now that's Italian! Che figata!\n\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanPastacooked,Cooked pasta sauce
foodCanPastacookedDesc,"Cooked Italian sauce. If only we had some pasta to go with it..."
foodCanPearsDesc,"Maintain that perfect pear shape by eating canned pears.\n\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanPearscooked,Cooked pears
foodCanPearscookedDesc,"Warm pears straight from the can. Might be weird to some, but it's less likely to make you ill..."
foodCanPeasDesc,"You and your can of peas will be like two peas in a pod and you'll get your daily vegetables.\n\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanPeascooked,Cooked peas
foodCanPeascookedDesc,"One of your 5-a-day."
foodCanSalmonDesc,"Enjoy this healthy can of salmon.\n\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanSalmoncooked,Cooked salmon
foodCanSalmoncookedDesc,"A healthy can of cooked salmon."
foodCanShamDesc,"A can of high quality Shamway ham the number 1 maker of meat-like products. The lunch of champions.\n\nCrafted in lots of 5.\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanShamcooked,Cooked Sham
foodCanShamcookedDesc,"A can of high quality Shamway ham, but seriously - have you seen what they make this with?"
foodCanSoupDesc,"Chicken soup can keep the body and the soul together.\n\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanSoupcooked,Cooked chicken soup
foodCanSoupcookedDesc,"Hot chicken soup. Tasty."
foodCanStockDesc,"Stock up on stock or you could eat it now.\n\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanStockcooked,Cooked stock
foodCanStockcookedDesc,"It's not much, but it's better than starving, right?"
foodCanTunaDesc,"A can of tuna or better known as the chicken of the wasteland.\n\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanTunacooked,Cooked tuna
foodCanTunacookedDesc,"A can of cooked tuna. Reminds you of a simpler time."
foodChickenMiso,Chicken Miso
foodChickenMisoDesc,"Chicken pieces, miso, eggs & mushrooms. All that's missing is the ramen..."
foodChickenStew,Chicken Stew
foodChickenStewDesc,"A much better use for chicken rations. Delicious and filling."
foodGrilledCarrot,Grilled Carrot
foodGrilledCarrotDesc,"A grilled carrot. Not the fanciest of foods, but it does taste good."
foodGrilledOnion,Grilled Onion
foodGrilledOnionDesc,A much more palatable way to eat onions.
foodHoney,Honeycomb
foodMashedTurnip,Mashed Turnip
foodMashedTurnipDesc,Easier on your teeth than eating it raw ...
foodRoastChicken,Roast Chicken
foodRoastChickenDesc,A whole roast chicken. Hope you plucked it first ...
foodRoastedRabbit,Roasted Rabbit
foodRoastedRabbitDesc,You caught one? Now cook it! Delicious and filling.
foodScrambledEggs,Scrambled Eggs
foodScrambledEggsDesc,"An apocalyptic breakfast that can be eaten any time.\n\nJust don't question what laid the eggs..."
foodShepardsPie,Shepherd's Pie
foodShepardsPieDesc,"Shepherd's Pie sure is tasty and super filling."
foodShepardsPieSchematic,Shepherd's Pie Recipe
foodTrampStew,Tramp Stew
foodTrampStewDesc,"A meal fit for a ... well, a tramp.\n\nGood use for cat food though."
foodVagabondStew,Vagabond Stew
foodVagabondStewDesc,"No dogs anymore, so someone might as well eat it.\n\nMakes dog food just about edible."
honeyBee,Bee
honeyBeeDesc,A wild honey bee. Will produce up to 10 honey when placed in a bee hive.
lblchromium,Chrome
lblcopper,Copper
lbllimestone,Lime
lblzinc,Zinc
materialMresourceWoodScraps,Building
meleeToolFarmT2IronHoe,Garden Hoe
meleeToolFarmT2IronHoeDesc,"Required for fertilizing terrain, and farmplots found in the world.\n\nNot required for crafted farm plots.\n\nRequires you to have at least 10 fertilizer in your inventory.\nUse your secondary action[FFB400][action:local:Secondary][-] to hoe the ground and use the fertilizer."
meleeToolFarmT2IronHoeSchematic,Garden Hoe Schematic
meleeToolTorchDesc,This torch can be used as a portable light source or weapon with a chance to catch enemies on fire.\n\nCan also be used to craft a placeable wall torch. Requires gas to ignite.
meleeWpnBladeLegendaryBrushKnife,"Subquake's Indignation"
meleeWpnBladeLegendaryBrushKnifeDesc,"Half paintbrush, half knife—Subquake’s masterpiece of spite. A handle crusted with old pigment, a blade honed on broken palettes; it slashes and smears in the same motion, leaving furious streaks that never quite wash out. For artists who sign their work in blood and don’t wait for the paint to dry.\n\nStops all radiated regen. 30% damage bonus to elite zombies."
meleeWpnLegendaryGardenRake,"Fury's Harvest"
meleeWpnLegendaryGardenRakeDesc,"Forged in the fires of a long-lost kingdom, this legendary battle rake known as Fury's Harvest is a fearsome weapon that combines beauty and brutality. Its handle, made from the heartwood of an ancient tree, is imbued with the strength of a thousand warriors. The tines, sharp as daggers and are said to have cleaved through armor and stone alike.\n\nStops all radiated regen. 30% damage bonus to elite zombies."
meleeWpnBladeLegendaryPaintBrush,"Red's Legendary Paintbrush"
meleeWpnBladeLegendaryPaintBrushDesc,"This ancient & mysterious brush has built up thousands of layers of paint & varnish, which have hardened to be more durable than steel. In RambunctiousRed's hands, it has been honed into a deadly weapon.\n\nGo out, and paint the apocalypse red!!\n\nStops all radiated regen. 30% damage bonus to elite zombies."
meleeWpnLegendaryPitchfork,"Hells' Wrath"
meleeWpnLegendaryPitchforkDesc,"Legends tell of its origin: crafted by a vengeful farmer who sought to protect his land from marauding invaders. This pitchfork is not merely a tool; it embodies the relentless spirit of those who defend their home, turning the very essence of agriculture into a weapon of epic proportions.\n\nStops all radiated regen. 30% damage bonus to elite zombies."
meleeWpnLegendaryScythe,"Death's Whisper"
meleeWpnLegendaryScytheDesc,"A devastating slashing weapon, and when swung, Death's Whisper emits a haunting hum, resonating with the whispers of lost souls. Legends say it can slice through the fabric of reality itself, allowing its wielder to reap not just lives, but destinies. It is not merely a weapon; it is a harbinger of change, a symbol of inevitability. In the hands of a true master, it can unleash the fury of a tempest, or restore balance to a world in chaos.\n\nStops all radiated regen. 30% damage bonus to elite zombies."
meleeWpnLegendarySledgehammer,"Piston-Head Sledge"
meleeWpnLegendarySledgehammerDesc,"A salvaged engine piston welded to a length of rebar, heavy, balanced, and mean. Each swing compresses more than air — it dents skulls and stalls hearts. Tuned for knockdowns and broken bones.\n\nStops all radiated regen. 30% damage bonus to elite zombies."
meleeWpnClubHydraulicHammer,"Purgatory's Rebuke"
meleeWpnClubHydraulicHammerDesc,"An oversized spanner with its jaw locked tight, the handle wrapped in oilcloth for grip. Hook, pry, and crack in one motion—lefty-loosey for them, righty-tighty for you.\n\nStops all radiated regen. 30% damage bonus to elite zombies."
meleeWpnKnucklesLegendaryKnuckles,Geargrinders
meleeWpnKnucklesLegendaryKnucklesDesc,"Twin rings forged from heavy machine cogs, teeth filed to a cruel bite. Every punch chews through armor and grinds morale to filings. Fast, brutal, unapologetically loud.\n\nStops all radiated regen. 30% damage bonus to elite zombies."
modArmorCigarDesc,Look intimidating and get a better deal from traders.
modArmorWaterPurifier,Water Filtration Unit
modArmorWaterPurifierDesc,Requires a limited-use filter to allow safe consumption of standing and murky water.
modGunBrassCatcher,Brass Catcher
modGunBrassCatcherDesc,"Will return 50% of bullet casings when installed in 9mm, 7.62mm, & .44 calibre weapons, but makes them a little slower to reload."
modGunSoundSuppressorSilencer,Suppressor Mod
modGunSoundSuppressorSilencerSchematic,Suppressor Mod Schematic
mushroom01,Small Mushroom
mushroom02,Large Mushroom
npcTraderBooks,Trader Nancy
npcTraderHells,Trader Hells
npcTraderRed,Trader Red
perkAdvancedEngineeringDesc,Engineer advanced items faster with reduced costs at workstations.
perkBarBrawling5AdrenalineHealingDesc,Drinking moonshine no longer blurs your vision.
perkBarBrawling5AdrenalineHealingLongDesc,Liquored Up: Drinking Grandpa's Moonshine no longer blurs your vision.
perkHeavyArmorDesc,"Specialize in shielding yourself with iron and steel, becoming an unstoppable behemoth on the battlefield."
perkLightArmorDesc,Specialize in light armor to reduce degradation use.
perkLivingOffTheLandDesc,Specialize in harvesting more crops using your hands or a tool.
perkMasterChefDesc,Learn how to become a Master Chef! Decrease cooking time and ingredients needed for your favorite recipes.
perkMediumArmorDesc,"Specialize in medium armor to reduce degradation, stamina, and movement penalties."
perkSledgeSagaDegradationDesc,Sledgehammers degrade 10% slower.
perkSledgeSagaDegradationLongDesc,Maintenance: Maximize every swing to reduce degradation. Sledgehammers degrade 10% slower.
perkUrbanCombatCompleteDesc,Suppressors have no damage penalty.
perkUrbanCombatCompleteLongDesc,The Silencer: Firearms with suppressors have no damage penalty.
perkWellInsulatedRank1Desc,"Mildly Weather Tolerant"
perkWellInsulatedRank1LongDesc,"You like mild weather, but can handle a bit of temperature fluctuation. Gain 5 insulation against heat and cold, and lose 5% less food and water when cold or overheating."
perkWellInsulatedRank2Desc,"Moderately Weather Resistant"
perkWellInsulatedRank2LongDesc,"You are resistant to some pretty intense weather and lose 10% less food and water when cold or overheating. Grants 10 insulation against both heat and cold."
perkWellInsulatedRank3Desc,"Robustly Weather Tolerant"
perkWellInsulatedRank3LongDesc,"You're starting to get hardened against the elements. Lose 15% less food and water when cold or overheating. Grants 15 insulation against both heat and cold."
perkWellInsulatedRank4Desc,"Intensely Weather Hardened"
perkWellInsulatedRank4LongDesc,"Harsher environments aren't bothering you much these days. Lose 20% less food and water when cold or overheating. Grants 20 insulation against both heat and cold."
perkWellInsulatedRank5Desc,"Extremely Weather Hardened"
perkWellInsulatedRank5LongDesc,"You can now handle severe weather and typically couldn't care less what the weather conditions are. You will never have the more severe stages of temperature status effects"
placedLitTorch1,Wall Torch
placedLitTorch3Harvest,Spent Torch
placedLitTorch3HarvestDesc,"This torch is spent and needs refuelling"
placedUnlitLantern,Spent Lantern
placedUnlitLanternDecs,"This lantern's battery is depleted and needs replacing."
plantedAloe3Harvest,Aloe
plantedAloe3HarvestBiome,Aloe
plantedAloe3HarvestPlayer,Aloe
plantedBlueberry3Harvest,Blueberries
plantedBlueberry3HarvestBiome,Blueberries
plantedBlueberry3HarvestPlayer,Blueberries
plantedChrysanthemum3Harvest,Chrysanthemums
plantedChrysanthemum3HarvestPlayer,Chrysanthemums
plantedChrysanthemumHarvestBiome,Chrysanthemum
plantedCoffee3Harvest,Coffee
plantedCoffee3HarvestPlayer,Coffee
plantedCorn2Deco,Corn
plantedCorn3Harvest,Corn
plantedCorn3HarvestPlayer,Corn
plantedCotton3Harvest,Cotton
plantedCotton3HarvestPlayer,Cotton
plantedCottonHarvestBiome,Cotton
plantedGoldenrod3Harvest,Goldenrod
plantedGoldenrod3HarvestPlayer,Goldenrod
plantedGoldenrodHarvestBiome,Goldenrod
plantedGraceCorn3Harvest,Super Corn
plantedGraceCorn3HarvestPlayer,Super Corn
plantedHop3Harvest,Hops
plantedHop3HarvestPlayer,Hops
plantedLavender1,Lavender (Seed)
plantedLavender2,Lavender (Growing)
plantedLavender3HarvestDesc,Lavender Flower
plantedLavender3HarvestPlayer,Lavender Flower
plantedMushroom3Harvest,Mushrooms
plantedMushroom3HarvestPlayer,Mushrooms
plantedPotato3Harvest,Potatoes
plantedPotato3HarvestPlayer,Potatoes
plantedPumpkin3Harvest,Pumpkins
plantedPumpkin3HarvestPlayer,Pumpkins
plantedYucca3Harvest,Yucca
plantedYucca3HarvestBiome,Yucca
plantedYucca3HarvestPlayer,Yucca
playerPiano,Piano
playerPianoDesc,"Place this block and interact with it.\n\nGo on - try it. You know you want to ..."
playerRadio,Ham Radio
playerRadioDesc,"Place this block and interact with it.\n\nGo on - try it. You know you want to ..."
playerSawmill,Sawmill
playerTableSaw,Tablesaw
playerWoodBurningStove,Wood Burning Stove
questStartup_desc,"The idea behind this mod is to slow progression, make traders less powerful, and generally extend the time for a playthrough, while keeping the vanilla look and feel.\n\n[ffd700]GENERAL GAMEPLAY[-]\n\nPlayer starts with a new debuff - Despair.\n\nAs your despair increases, your abilities will be negatively affected. If despair reaches 100%, you'll be seconds from death.\nConversely, if you can manage your despair well, you'll receive buffs for remaining positive.\n\nThe despair indicator on the HUD will fill as your despair grows and will change colour to indicate the level of your despair.\n\nIf you're able to manage your despair and have a more positive outlook, the icon on the HUD will change, as will the fill colour to indicate your levels of positivity.\n\nDespair can also be checked from the player information screen.\n\nHeadshots! Zombies take maximum damage from headshots, however, they do take small damage if you miss the head.\n\nZombies DON'T bleed. Nothing undead takes bleed damage.\n\nThere are more zombies in the world. Biomes are gamestaged, which means zombies get tougher and their numbers increase as you level up.\n\nNights are dangerous, downtown is much more dangerous.\n\nTraders no longer offer quests, but they can be traded with.\n\nAll blades base damage rebalanced to adjust for damage over time lost from enemies not bleeding.\n "
questStartup_offer,"28 Alphas Later"
quest_WhiteRiverCitizen1,"Welcome to [FFC800]28 ALPHAS LATER[-]!"
quest_WhiteRiverCitizen1_description,"This mod will challenge you in ways that the vanilla game doesn't,\nwhile keeping the familiar vanilla look & feel.\n\n[00FF00]Important Points![-]\nZombies only take MAXIMUM damage with [FFC800]headshots[-],[FFC800] fire[-], & [FFC800]explosives[-]!\nZombies[FF4500] DO NOT [-]bleed!\n\nLoot is reduced, and traders have no quests.\n\nHave fun!!"
quest_WhiteRiverCitizen1_description_title,28 Alphas Later
researchPaperBlank,Research Paper
researchPaperBlank100,100 Research
researchPaperBlank1000,1k Research
researchPaperBlank10000,10k Research
researchPaperBlank100000,100k Research
researchPaperBlank100000Desc,"Read this to increase your crafting skill by 100,000."
researchPaperBlank10000Desc,"Read this to increase your crafting skill by 10,000."
researchPaperBlank1000Desc,Read this to increase your crafting skill by 1000.
researchPaperBlank100Desc,Read this to increase your crafting skill by 100.
researchPaperBlank500,500 Research
researchPaperBlank5000,5k Research
researchPaperBlank5000Desc,Read this to increase your crafting skill by 5000.
researchPaperBlank500Desc,Read this to increase your crafting skill by 500.
researchPaperBlankDesc,These are used to increase your crafting skill.\n\nAny crafting skill can be increased once you have enough Research Papers in your inventory.
resourceBranch,Branch
resourceBranchDesc,"A small stout branch. Used for stone tools and arrows.\n\nCan also be used as fuel."
resourceCropLavender,Lavender Flower
resourceCropLavenderDesc,"Lavender has medicinal properties. Use it to make lavender oil in a campfire.\n\nLavender oil can help treat your despair"
resourceFertilizer,Fertilizer
resourceHelmetWaterFilter,Portable Water Filter
resourceHelmetWaterFilterDesc,A home-made component used to recharge a Water Filtration Unit.\n\nDoesn't always work on the first sip of water ...
resourceNiCdBattery,"9v D-cell Battery"
resourceNiCdBatteryDesc,"A limited-use battery, required to operate various portable light sources."
resourceSawBlade,Saw Blade
resourceSawBladeDesc,A crucial compenent for constructing a sawmill.
resourceWoodDesc,"A piece of wood. Great for building tools and constructing wood frames for building.\n\nPlace logs like a block and chop with an axe, or use a sawmill for a higher yield."
resourceWoodScraps,Wood scraps
resourceWoodScrapsDesc,"Small fragments of wood.\n\nCan be used for fuel and basic building blocks, but not much else."
resourceChromium,Chromium
resourceChromiumDesc,"A core resource for crafting and forging. Required ingredient for steel."
resourceCopper,Copper
resourceCopperDesc,"A core resource for crafting and forging. Required ingredient for brass."
resourceLimestone,Limestone
resourceLimestoneDesc,"A core resource for crafting and forging. Required ingredient for concrete."
resourceZinc,Zinc
resourceZincDesc,"A core resource for crafting and forging. Required ingredient for brass."
resourceChromiumBundle,Stack of Chromium (6000)
resourceChromiumBundleDesc,This is a compact stack of chromium. Use this item to open and unpack it.
resourceCopperBundle,Stack of Copper (6000)
resourceCopperBundleDesc,This is a compact stack of copper. Use this item to open and unpack it.
resourceLimestoneBundle,Stack of Limestone (6000)
resourceLimestoneBundleDesc,This is a compact stack of limestone. Use this item to open and unpack it.
resourceZincBundle,Stack of Zinc (6000)
resourceZincBundleDesc,This is a compact stack of zinc. Use this item to open and unpack it.
spentWallTorch,Spent Torch
spentWallTorchDesc,"A spent torch. Can be reused to craft another wall torch"
statCureDespair,Treat Despair
statNerdSkillPointChance,Research Loot Quantity
statSmell,Carry safely count (smell)
statWellness,"Wellness Added"
tableSawDesc,"A workstation for turning logs into wood planks more quickly and effeciently."
tablesawTip,"The Tablesaw unlocks the ability to turn wood logs into wood more quickly & effeciently. Inside your land claim area all workstations can be picked up by holding ''E'' and selecting ''TAKE'' from the radial menu."
tablesawTip_title,Tablesaw
tameChicken,Chicken
tameChickenDesc,"A chicken. Will produce up to 20 eggs when place in a chicken coop.\n\nCan also be used in recipes at a campfire or wood burning stove."
tameRabbit,Rabbit
tameRabbitDesc,Used in recipes at a campfire or wood burning stove.
terrOreChromium,Chromium Ore
terrOreCopper,Copper Ore
terrOreLimestone,Limestone Ore
terrOreZinc,Zinc Ore
oreChromiumBoulder,Chromium Ore Boulder
oreCopperBoulder,Copper Ore Boulder
oreLimestoneBoulder,Limestone Ore Boulder
oreZincBoulder,Zinc Ore Boulder
terrOreStoneChromiumRandom,= Chromium Vein = Helper
terrOreStoneChromiumRandomDesc,Chromium / Stone / Sandstone
terrOreStoneCopperRandom,= Copper Vein = Helper
terrOreStoneCopperRandomDesc,Copper / Stone / Sandstone
terrOreStoneLimestoneRandom,= Limestone Vein = Helper
terrOreStoneLimestoneRandomDesc,Limestone / Stone / Sandstone
terrOreStoneZincRandom,= Zinc Vein = Helper
terrOreStoneZincRandomDesc,Zinc / Stone / Sandstone
toolAmmoPress,Ammunition Press
toolAmmoPressDesc,This tool is required to assemble and dismantle firearm rounds at a workbench.
toolBeeFrame,Honeycomb Frame
toolBeeFrameDesc,Doubles the amount of honey produced.
toolHeatLamp,Heat Lamp
toolHeatLampDesc,Speeds up production of eggs.
toolNest,Nesting
toolNestDesc,Doubles the number of eggs produced.
toolWaterDistillery,"Water Distiller"
toolWaterDistilleryDesc,"A utensil used in a campfire to purify water."
toolbeeSmoker,Bee Smoker
toolbeeSmokerDesc,Speeds up production of honey.
trader_books,Trader Nancy
trader_hells,Trader Hells
trader_red,Trader Red
ttItemNeedsRepair,"This item is knackered and needs fixing"
ttRepairBeforePickup,"It's knackered and needs repairing before picking it up."
vehicleDirtBike,The Ruin Runner
vehicleDirtBikeChassis,The Ruin Runner Chassis
vehicleDirtBikeHandlebars,The Ruin Runner Handlebars
vehicleDirtBikePlaceable,The Ruin Runner
vehicleDuneBuggy,The Hornet
vehicleDuneBuggyAccessories,The Hornet Accessories
vehicleDuneBuggyChassis,The Hornet Chassis
vehicleDuneBuggyPlaceable,The Hornet
vehiclesT2,"Tier 2: Minibike, Dirt Bike, Oil, & Gas"
vehiclesT3,"Tier 3: Motorcycle, Dune Buggy & Stacks of Gas Cans"
venomDesc,"Key ingredient for antivenom."
woodLogPillar100Desc,Wood logs are good for crude walls or palisades or as fuel for campfires.\n\nPlace them as a block and chop them with an axe for wood planks.
workstationsT1-1,Tier 1: Beehive & Chicken Coop
workstationsT2-1,Tier 2: Workbench & Sawmill
xuiRemoveModsFirst,Remove installed mods before combining.
zombieArlene,Putrid Girl
zombieArleneCowboy,Putrid Cowgirl
zombieArleneFeral,Feral Putrid Girl
zombieArleneFrozen,Frozen Putrid Girl
zombieArleneMutated,Mutated Putrid Girl
zombieArleneRadiated,Radiated Putrid Girl
zombieArleneRotten,Rotting Putrid Girl
zombieArleneWeak,Weak Putrid Girl
zombieBikerFrozen,Frozen Biker
zombieBikerMutated,Mutated Biker
zombieBikerRotten,Rotting Biker
zombieBikerWeak,Weakened Biker
zombieBoe,Infected Survivor
zombieBoeCowboy,Infected Cowboy
zombieBoeFeral,Feral Infected Survivor
zombieBoeFrozen,Frozen Infected Survivor
zombieBoeMutated,Mutated Infected Survivor
zombieBoeRadiated,Radiated Infected Survivor
zombieBoeRotten,Rotting Infected Survivor
zombieBoeWeak,Weakened Infected Survivor
zombieBowlerRotten,Rotting Bowler
zombieBowlerWeak,Weakened Bowler
zombieBunkerBuster,Bunker Buster
zombieBurnt,Burn Victim
zombieBurntFeral,Feral Burn Victim
zombieBurntMutated,Mutated Burn Victim
zombieBurntRadiated,Radiated Burn Victim
zombieBurntRotten,Rotting Burn Victim
zombieBurntWeak,Weakened Burn Victim
zombieBusinessManCowboy,Cowboy Businessman
zombieBusinessManFrozen,Frozen Businessman
zombieBusinessManMutated,Mutated Businessman
zombieBusinessManRotten,Rotting Businessman
zombieBusinessManWeak,Weakened Businessman
zombieDarlene,Decayed Mother
zombieDarleneCowboy,Decayed Cowgirl
zombieDarleneFeral,Feral Mother
zombieDarleneFrozen,Frozen Mother
zombieDarleneMutated,Mutated Mother
zombieDarleneRadiated,Radiated Mother
zombieDarleneRotten,Rotting Mother
zombieDarleneWeak,Weakened Mother
zombieFatCop,Infected Cop
zombieFatCopFeral,Feral Cop
zombieFatCopMutated,Mutated Cop
zombieFatCopRadiated,Radiated Cop
zombieFatCopRotten,Rotting Cop
zombieFatCopWeak,Weakened Cop
zombieFatHawaiian,Disturbed Tourist
zombieFatHawaiianFrozen,Frozen Tourist
zombieFatHawaiianMutated,Mutated Tourist
zombieFatHawaiianRotten,Rotting Tourist
zombieFatHawaiianWeak,Weakened Tourist
zombieFemaleFat,Hungry Zombie
zombieFemaleFatCowboy,Hungry Cowgirl
zombieFemaleFatFeral,Feral Hungry Zombie
zombieFemaleFatFrozen,Frozen Hungry Zombie
zombieFemaleFatMutated,Mutated Hungry Zombie
zombieFemaleFatRadiated,Radiated Hungry Zombie
zombieFemaleFatRotten,Rotting Hungry Zombie
zombieFemaleFatWeak,Weakened Hungry Zombie
zombieGirl1,Polly
zombieGirl2,Holly
zombieGirl3,Molly
zombieGuy1,Barry
zombieGuy2,Harry
zombieGuy3,Larry
zombieHellsBlindMutant,Blind Hunter
zombieHellsBuffedMutant,Buffed Mutant
zombieHellsDoomDemon,Nyaphim Exo
zombieHellsGiantMutant,Giant Mutant
zombieHellsHeavyDemon,Nyaphim
zombieHellsHumanExperiment,Human Experiment
zombieHellsHungryMutant,Hungry Mutant
zombieHellsMutant1,Mutant Amorph
zombieHellsMutant4,Mutant Neomorph
zombieHellsMutantBoomer,Mutated Boomer
zombieHellsMutantHeadHunter,Mutant Hypomorph
zombieHellsMutantReaper,Mutant Reaper
zombieHellsMutantTentacles,Mutant Hypermorph
zombieHellsParasite,Parasitic Mutant
zombieHellsWendigo1,Lupine Mutant
zombieHellsWendigo2,Canine Mutant
zombieInmateFrozen,Frozen Janitor
zombieInmateMutated,Mutated Janitor
zombieInmateRotten,Rotting Janitor
zombieInmateWeak,Weakened Janitor
zombieJanitorFrozen,Frozen Janitor
zombieJanitorMutated,Mutated Janitor
zombieJanitorRotten,Rotting Janitor
zombieJanitorWeak,Weakened Janitor
zombieJoe,Festering Cadaver
zombieJoeCowboy,Festering Cowboy
zombieJoeFeral,Feral Cadaver
zombieJoeFrozen,Frozen Cadaver
zombieJoeMutated,Mutated Cadaver
zombieJoeRadiated,Radiated Cadaver
zombieJoeRotten,Rotting Cadaver
zombieJoeWeak,Weakened Cadaver
zombieLabFrozen,Frozen Labworker
zombieLabMutated,Mutated Labworker
zombieLabRotten,Rotting Labworker
zombieLabWeak,Weakened Labworker
zombieLumberjackMutated,Mutated Lumberjack
zombieLumberjackRotten,Rotting Lumberjack
zombieLumberjackWeak,Weakened Lumberjack
zombieMaleFeralHazmatLootBag,Dropped Hazmat Loot
zombieMaleHazmatFrozen,Frozen Hazmat
zombieMaleHazmatLootBag,Dropped Hazmat Loot
zombieMaleHazmatMutated,Mutated Hazmat
zombieMaleHazmatRotten,Rotting Hazmat
zombieMaleHazmatWeak,Weakened Hazmat
zombieMaleMutatedHazmatLootBag,Dropped Hazmat Loot
zombieMarlene,Departed Woman
zombieMarleneCowboy,Departed Cowgirl
zombieMarleneFeral,Feral Departed Woman
zombieMarleneFrozen,Frozen Departed Woman
zombieMarleneMutated,Mutated Departed Woman
zombieMarleneRadiated,Radiated Departed Woman
zombieMarleneRotten,Rotting Departed Woman
zombieMarleneWeak,Weakened Departed Woman
zombieMoe,Bloated Walker
zombieMoeCowboy,Cowboy Walker
zombieMoeFeral,Feral Walker
zombieMoeFrozen,Frozen Walker
zombieMoeMutated,Mutated Walker
zombieMoeRadiated,Radiated Walker
zombieMoeRotten,Rotting  Walker
zombieMoeWeak,Weakened Walker
zombieMutatedDemolition,Nuclear Demolition
zombieMutatedMutated,Mutated Hulk
zombieNurseFrozen,Frozen Nurse
zombieNurseMutated,Mutated Nurse
zombieNurseRotten,Rotting Nurse
